"filename", "language", "Dart", "HTTP", "comment", "blank", "total"
"d:\SIH_2020\smart_textile\lib\Business\Invoice\a.http", "HTTP", 0, 0, 0, 1, 1
"d:\SIH_2020\smart_textile\lib\Business\Invoice\api_service.dart", "Dart", 170, 0, 0, 23, 193
"d:\SIH_2020\smart_textile\lib\Business\Invoice\driver.dart", "Dart", 39, 0, 3, 8, 50
"d:\SIH_2020\smart_textile\lib\Business\Invoice\driver_details.dart", "Dart", 278, 0, 0, 7, 285
"d:\SIH_2020\smart_textile\lib\Business\Invoice\grey_header.dart", "Dart", 45, 0, 0, 2, 47
"d:\SIH_2020\smart_textile\lib\Business\Invoice\information.dart", "Dart", 1292, 0, 3, 18, 1313
"d:\SIH_2020\smart_textile\lib\Business\Invoice\invoice.dart", "Dart", 110, 0, 5, 7, 122
"d:\SIH_2020\smart_textile\lib\Business\Invoice\invoice1.dart", "Dart", 437, 0, 2, 15, 454
"d:\SIH_2020\smart_textile\lib\Business\Invoice\scanner.dart", "Dart", 951, 0, 1, 16, 968
"d:\SIH_2020\smart_textile\lib\Business\Invoice\single_driver_list_container.dart", "Dart", 68, 0, 2, 4, 74
"d:\SIH_2020\smart_textile\lib\Business\Invoice\single_transporter_list_container.dart", "Dart", 121, 0, 3, 3, 127
"d:\SIH_2020\smart_textile\lib\Business\Invoice\size_config.dart", "Dart", 25, 0, 0, 4, 29
"d:\SIH_2020\smart_textile\lib\Business\Invoice\transpoter_list.dart", "Dart", 289, 0, 3, 10, 302
"d:\SIH_2020\smart_textile\lib\Business\Main\bill.dart", "Dart", 259, 0, 2, 6, 267
"d:\SIH_2020\smart_textile\lib\Business\Main\dashboard.dart", "Dart", 164, 0, 0, 7, 171
"d:\SIH_2020\smart_textile\lib\Business\Main\manage.dart", "Dart", 471, 0, 3, 16, 490
"d:\SIH_2020\smart_textile\lib\Business\Main\order.dart", "Dart", 112, 0, 4, 8, 124
"d:\SIH_2020\smart_textile\lib\Business\Main\qr.dart", "Dart", 258, 0, 2, 6, 266
"d:\SIH_2020\smart_textile\lib\Business\Main\your_order.dart", "Dart", 508, 0, 1, 15, 524
"d:\SIH_2020\smart_textile\lib\Business\manage_product\product.dart", "Dart", 162, 0, 0, 7, 169
"d:\SIH_2020\smart_textile\lib\Business\manage_product\screens\add_image.dart", "Dart", 765, 0, 17, 36, 818
"d:\SIH_2020\smart_textile\lib\Business\manage_product\screens\add_information.dart", "Dart", 313, 0, 1, 11, 325
"d:\SIH_2020\smart_textile\lib\Business\manage_product\screens\add_product.dart", "Dart", 381, 0, 1, 5, 387
"d:\SIH_2020\smart_textile\lib\Business\manage_product\screens\category.dart", "Dart", 153, 0, 0, 4, 157
"d:\SIH_2020\smart_textile\lib\Business\manage_product\screens\get_list.dart", "Dart", 204, 0, 0, 14, 218
"d:\SIH_2020\smart_textile\lib\Business\manage_product\screens\grey_header.dart", "Dart", 45, 0, 0, 2, 47
"d:\SIH_2020\smart_textile\lib\Business\manage_product\screens\second_category_apperal.dart", "Dart", 858, 0, 5, 7, 870
"d:\SIH_2020\smart_textile\lib\Business\manage_product\screens\second_category_dress.dart", "Dart", 2071, 0, 9, 7, 2087
"d:\SIH_2020\smart_textile\lib\Business\manage_product\screens\second_category_ethincwear.dart", "Dart", 1765, 0, 9, 11, 1785
"d:\SIH_2020\smart_textile\lib\Business\manage_product\screens\second_category_fabric.dart", "Dart", 979, 0, 9, 8, 996
"d:\SIH_2020\smart_textile\lib\Business\manage_product\screens\second_category_kurti.dart", "Dart", 2038, 0, 9, 7, 2054
"d:\SIH_2020\smart_textile\lib\Business\manage_product\screens\second_category_saree.dart", "Dart", 1998, 0, 11, 9, 2018
"d:\SIH_2020\smart_textile\lib\Business\manage_product\screens\select_sub.dart", "Dart", 176, 0, 0, 4, 180
"d:\SIH_2020\smart_textile\lib\Business\manage_product\screens\size_config.dart", "Dart", 25, 0, 0, 4, 29
"d:\SIH_2020\smart_textile\lib\Business\manage_product\services\a.http", "HTTP", 0, 2, 0, 1, 3
"d:\SIH_2020\smart_textile\lib\Business\manage_product\services\api_service.dart", "Dart", 214, 0, 0, 28, 242
"d:\SIH_2020\smart_textile\lib\Chat\constants\strings.dart", "Dart", 9, 0, 0, 3, 12
"d:\SIH_2020\smart_textile\lib\Chat\enum\user_state.dart", "Dart", 5, 0, 0, 0, 5
"d:\SIH_2020\smart_textile\lib\Chat\enum\view_state.dart", "Dart", 4, 0, 0, 2, 6
"d:\SIH_2020\smart_textile\lib\Chat\models\contact.dart", "Dart", 19, 0, 0, 5, 24
"d:\SIH_2020\smart_textile\lib\Chat\models\message.dart", "Dart", 75, 0, 3, 13, 91
"d:\SIH_2020\smart_textile\lib\Chat\models\notification.dart", "Dart", 31, 0, 1, 12, 44
"d:\SIH_2020\smart_textile\lib\Chat\provider\document_upload_provider.dart", "Dart", 14, 0, 0, 4, 18
"d:\SIH_2020\smart_textile\lib\Chat\provider\image_upload_provider.dart", "Dart", 14, 0, 0, 4, 18
"d:\SIH_2020\smart_textile\lib\Chat\resources\auth_methods.dart", "Dart", 64, 0, 0, 13, 77
"d:\SIH_2020\smart_textile\lib\Chat\resources\chat_methods.dart", "Dart", 154, 0, 6, 40, 200
"d:\SIH_2020\smart_textile\lib\Chat\resources\storage_methods.dart", "Dart", 66, 0, 11, 19, 96
"d:\SIH_2020\smart_textile\lib\Chat\screens\chat_home_screen.dart", "Dart", 102, 0, 1, 17, 120
"d:\SIH_2020\smart_textile\lib\Chat\screens\chatscreens\chat_screen.dart", "Dart", 766, 0, 4, 47, 817
"d:\SIH_2020\smart_textile\lib\Chat\screens\chatscreens\widgets\cached_document.dart", "Dart", 179, 0, 0, 15, 194
"d:\SIH_2020\smart_textile\lib\Chat\screens\chatscreens\widgets\cached_image.dart", "Dart", 53, 0, 0, 6, 59
"d:\SIH_2020\smart_textile\lib\Chat\screens\chatscreens\widgets\image_screen.dart", "Dart", 54, 0, 0, 8, 62
"d:\SIH_2020\smart_textile\lib\Chat\screens\pageviews\chat_list_screen.dart", "Dart", 138, 0, 5, 9, 152
"d:\SIH_2020\smart_textile\lib\Chat\screens\pageviews\widgets\contact_view.dart", "Dart", 129, 0, 0, 11, 140
"d:\SIH_2020\smart_textile\lib\Chat\screens\pageviews\widgets\customdialog.dart", "Dart", 152, 0, 0, 10, 162
"d:\SIH_2020\smart_textile\lib\Chat\screens\pageviews\widgets\detailes.dart", "Dart", 151, 0, 1, 8, 160
"d:\SIH_2020\smart_textile\lib\Chat\screens\pageviews\widgets\last_message_container.dart", "Dart", 52, 0, 0, 6, 58
"d:\SIH_2020\smart_textile\lib\Chat\screens\pageviews\widgets\quiet_box.dart", "Dart", 47, 0, 0, 2, 49
"d:\SIH_2020\smart_textile\lib\Chat\screens\pageviews\widgets\size_config.dart", "Dart", 25, 0, 0, 4, 29
"d:\SIH_2020\smart_textile\lib\Chat\screens\pageviews\widgets\user_circle.dart", "Dart", 81, 0, 1, 6, 88
"d:\SIH_2020\smart_textile\lib\Chat\screens\search_screen.dart", "Dart", 237, 0, 4, 16, 257
"d:\SIH_2020\smart_textile\lib\Chat\utils\permissions.dart", "Dart", 63, 0, 0, 7, 70
"d:\SIH_2020\smart_textile\lib\Chat\utils\universal_variables.dart", "Dart", 18, 0, 0, 5, 23
"d:\SIH_2020\smart_textile\lib\Chat\utils\utilities.dart", "Dart", 56, 0, 1, 14, 71
"d:\SIH_2020\smart_textile\lib\Chat\widgets\appbar.dart", "Dart", 33, 0, 0, 5, 38
"d:\SIH_2020\smart_textile\lib\Chat\widgets\custom_tile.dart", "Dart", 102, 0, 8, 5, 115
"d:\SIH_2020\smart_textile\lib\Transporter\screens\delivery_details.dart", "Dart", 515, 0, 1, 18, 534
"d:\SIH_2020\smart_textile\lib\Transporter\screens\driver_list.dart", "Dart", 121, 0, 1, 7, 129
"d:\SIH_2020\smart_textile\lib\Transporter\screens\driverassign.dart", "Dart", 200, 0, 2, 7, 209
"d:\SIH_2020\smart_textile\lib\Transporter\screens\transporter_driver.dart", "Dart", 277, 0, 0, 7, 284
"d:\SIH_2020\smart_textile\lib\Transporter\screens\transporter_edit_profile.dart", "Dart", 450, 0, 0, 7, 457
"d:\SIH_2020\smart_textile\lib\Transporter\screens\transporter_home_page.dart", "Dart", 366, 0, 13, 6, 385
"d:\SIH_2020\smart_textile\lib\Transporter\screens\transporter_notification.dart", "Dart", 176, 0, 0, 3, 179
"d:\SIH_2020\smart_textile\lib\Transporter\screens\transporter_profile_option.dart", "Dart", 260, 0, 2, 3, 265
"d:\SIH_2020\smart_textile\lib\Transporter\services\transporter_services.dart", "Dart", 136, 0, 0, 33, 169
"d:\SIH_2020\smart_textile\lib\Transporter\shared\size_config.dart", "Dart", 25, 0, 0, 5, 30
"d:\SIH_2020\smart_textile\lib\login\models\pincode.dart", "Dart", 63, 0, 0, 11, 74
"d:\SIH_2020\smart_textile\lib\login\models\user.dart", "Dart", 172, 0, 0, 8, 180
"d:\SIH_2020\smart_textile\lib\login\models\user.g.dart", "Dart", 112, 0, 4, 6, 122
"d:\SIH_2020\smart_textile\lib\login\screens\login_body.dart", "Dart", 396, 0, 1, 8, 405
"d:\SIH_2020\smart_textile\lib\login\screens\otp.dart", "Dart", 368, 0, 0, 7, 375
"d:\SIH_2020\smart_textile\lib\login\screens\register_option.dart", "Dart", 259, 0, 0, 9, 268
"d:\SIH_2020\smart_textile\lib\login\screens\register_second.dart", "Dart", 562, 0, 2, 12, 576
"d:\SIH_2020\smart_textile\lib\login\screens\registerfirst.dart", "Dart", 515, 0, 0, 9, 524
"d:\SIH_2020\smart_textile\lib\login\screens\select_city.dart", "Dart", 139, 0, 1, 8, 148
"d:\SIH_2020\smart_textile\lib\login\screens\transporter_register_second.dart", "Dart", 581, 0, 2, 12, 595
"d:\SIH_2020\smart_textile\lib\login\services\api_service.dart", "Dart", 71, 0, 0, 11, 82
"d:\SIH_2020\smart_textile\lib\login\services\auth.dart", "Dart", 27, 0, 0, 4, 31
"d:\SIH_2020\smart_textile\lib\login\services\cloud_messaging.dart", "Dart", 9, 0, 0, 2, 11
"d:\SIH_2020\smart_textile\lib\login\services\hive_service.dart", "Dart", 24, 0, 0, 4, 28
"d:\SIH_2020\smart_textile\lib\login\shared\constants.dart", "Dart", 28, 0, 0, 2, 30
"d:\SIH_2020\smart_textile\lib\main.dart", "Dart", 85, 0, 0, 3, 88
"d:\SIH_2020\smart_textile\lib\main_content\components\category_select.dart", "Dart", 77, 0, 0, 3, 80
"d:\SIH_2020\smart_textile\lib\main_content\components\grey_header.dart", "Dart", 58, 0, 0, 2, 60
"d:\SIH_2020\smart_textile\lib\main_content\components\product_shimmer.dart", "Dart", 89, 0, 1, 2, 92
"d:\SIH_2020\smart_textile\lib\main_content\components\radial.dart", "Dart", 38, 0, 0, 3, 41
"d:\SIH_2020\smart_textile\lib\main_content\components\radial_menu.dart", "Dart", 238, 0, 0, 13, 251
"d:\SIH_2020\smart_textile\lib\main_content\components\search_bar.dart", "Dart", 63, 0, 0, 2, 65
"d:\SIH_2020\smart_textile\lib\main_content\components\single_supplier_list_container.dart", "Dart", 152, 0, 3, 3, 158
"d:\SIH_2020\smart_textile\lib\main_content\components\supplier_shimmer.dart", "Dart", 100, 0, 1, 2, 103
"d:\SIH_2020\smart_textile\lib\main_content\components\top_bar.dart", "Dart", 238, 0, 0, 6, 244
"d:\SIH_2020\smart_textile\lib\main_content\models\get_list.dart", "Dart", 204, 0, 0, 14, 218
"d:\SIH_2020\smart_textile\lib\main_content\models\news.dart", "Dart", 6, 0, 0, 1, 7
"d:\SIH_2020\smart_textile\lib\main_content\models\requirements_model.dart", "Dart", 39, 0, 0, 7, 46
"d:\SIH_2020\smart_textile\lib\main_content\models\supplier.dart", "Dart", 61, 0, 11, 6, 78
"d:\SIH_2020\smart_textile\lib\main_content\provider\circle_provider.dart", "Dart", 29, 0, 0, 6, 35
"d:\SIH_2020\smart_textile\lib\main_content\provider\provider_counter.dart", "Dart", 13, 0, 0, 4, 17
"d:\SIH_2020\smart_textile\lib\main_content\provider\provider_product_filter.dart", "Dart", 148, 0, 0, 22, 170
"d:\SIH_2020\smart_textile\lib\main_content\provider\provider_search.dart", "Dart", 25, 0, 0, 7, 32
"d:\SIH_2020\smart_textile\lib\main_content\provider\provider_supplier_filter_option.dart", "Dart", 119, 0, 1, 20, 140
"d:\SIH_2020\smart_textile\lib\main_content\provider\set_screen.dart", "Dart", 12, 0, 0, 5, 17
"d:\SIH_2020\smart_textile\lib\main_content\screens\producer\p_home_page.dart", "Dart", 40, 0, 0, 2, 42
"d:\SIH_2020\smart_textile\lib\main_content\screens\producer\producer_dashboard.dart", "Dart", 330, 0, 0, 5, 335
"d:\SIH_2020\smart_textile\lib\main_content\screens\retailers\r_home_page.dart", "Dart", 37, 0, 0, 2, 39
"d:\SIH_2020\smart_textile\lib\main_content\screens\retailers\reatiler_order.dart", "Dart", 400, 0, 2, 14, 416
"d:\SIH_2020\smart_textile\lib\main_content\screens\retailers\retailer_dashboard.dart", "Dart", 333, 0, 0, 6, 339
"d:\SIH_2020\smart_textile\lib\main_content\screens\shared\edit_profile.dart", "Dart", 476, 0, 0, 7, 483
"d:\SIH_2020\smart_textile\lib\main_content\screens\shared\favourite\fav_products.dart", "Dart", 266, 0, 1, 6, 273
"d:\SIH_2020\smart_textile\lib\main_content\screens\shared\favourite\fav_users.dart", "Dart", 81, 0, 1, 5, 87
"d:\SIH_2020\smart_textile\lib\main_content\screens\shared\favourite\favourite.dart", "Dart", 91, 0, 0, 3, 94
"d:\SIH_2020\smart_textile\lib\main_content\screens\shared\global_markets.dart", "Dart", 164, 0, 0, 4, 168
"d:\SIH_2020\smart_textile\lib\main_content\screens\shared\prediction.dart", "Dart", 16, 0, 0, 2, 18
